Location,Variant,Time,AgeGrp,ASFR
China,Medium,1968,15-19,48.075
China,Medium,1968,20-24,310.3
China,Medium,1968,25-29,347.828
China,Medium,1968,30-34,277.463
China,Medium,1968,35-39,199.82
China,Medium,1968,40-44,95.637
China,Medium,1968,45-49,13.873
China,Medium,1968,50-54,0.59
China,Medium,1969,10-14,0.125
China,Medium,1969,15-19,45.714
China,Medium,1969,20-24,293.306
China,Medium,1969,25-29,335.583
China,Medium,1969,30-34,259.918
China,Medium,1969,35-39,191.011
China,Medium,1969,40-44,88.704
China,Medium,1969,45-49,13.567
China,Medium,1969,50-54,0.615
China,Medium,1970,10-14,0.131
China,Medium,1970,15-19,44.196
China,Medium,1970,20-24,293.479
China,Medium,1970,25-29,328.318
China,Medium,1970,30-34,261.068
China,Medium,1970,35-39,186.883
China,Medium,1970,40-44,85.534
China,Medium,1970,45-49,11.798
China,Medium,1970,50-54,0.509
China,Medium,1971,10-14,0.136
China,Medium,1971,15-19,40.541
China,Medium,1971,20-24,267.868
China,Medium,1971,25-29,309.97
China,Medium,1971,30-34,234.431
China,Medium,1971,35-39,164.143
China,Medium,1971,40-44,74.122
China,Medium,1971,45-49,9.291
China,Medium,1971,50-54,0.383
China,Medium,1972,10-14,0.127
China,Medium,1972,15-19,34.411
China,Medium,1972,20-24,244.75
China,Medium,1972,25-29,298.359
China,Medium,1972,30-34,216.337
China,Medium,1972,35-39,147.594
China,Medium,1972,40-44,68.027
China,Medium,1972,45-49,8.812
China,Medium,1972,50-54,0.403
China,Medium,1973,10-14,0.104
China,Medium,1973,15-19,30.495
China,Medium,1973,20-24,230.546
China,Medium,1973,25-29,286.24
China,Medium,1973,30-34,198.926
China,Medium,1973,35-39,128.918
China,Medium,1973,40-44,58.662
China,Medium,1973,45-49,8.446
China,Medium,1973,50-54,0.477
China,Medium,1974,10-14,0.09
China,Medium,1974,15-19,28.644
China,Medium,1974,20-24,212.139
China,Medium,1974,25-29,261.243
China,Medium,1974,30-34,170.412
China,Medium,1974,35-39,104.264
China,Medium,1974,40-44,50.106
China,Medium,1974,45-49,7.432
China,Medium,1974,50-54,0.468
China,Medium,1975,10-14,0.094
China,Medium,1975,15-19,25.631
China,Medium,1975,20-24,179.813
China,Medium,1975,25-29,233.345
China,Medium,1975,30-34,142.688
China,Medium,1975,35-39,84.976
China,Medium,1975,40-44,41.912
China,Medium,1975,45-49,8.014
China,Medium,1975,50-54,0.577
China,Medium,1976,10-14,0.108
China,Medium,1976,15-19,24.284
China,Medium,1976,20-24,166.896
China,Medium,1976,25-29,222.445
China,Medium,1976,30-34,126.571
China,Medium,1976,35-39,70.459
China,Medium,1976,40-44,34.597
China,Medium,1976,45-49,6.809
China,Medium,1976,50-54,0.519
China,Medium,1977,10-14,0.121
China,Medium,1977,15-19,20.316
China,Medium,1977,20-24,150.783
China,Medium,1977,25-29,204.48
China,Medium,1977,30-34,108.326
China,Medium,1977,35-39,56.691
China,Medium,1977,40-44,27.006
China,Medium,1977,45-49,5.722
China,Medium,1977,50-54,0.474
China,Medium,1978,10-14,0.122
China,Medium,1978,15-19,15.131
China,Medium,1978,20-24,146.259
China,Medium,1978,25-29,204.236
China,Medium,1978,30-34,102.041
China,Medium,1978,35-39,50.076
China,Medium,1978,40-44,23.063
China,Medium,1978,45-49,4.682
China,Medium,1978,50-54,0.42
China,Medium,1979,10-14,0.118
China,Medium,1979,15-19,12.533
China,Medium,1979,20-24,155.911
China,Medium,1979,25-29,213.704
China,Medium,1979,30-34,100.872
China,Medium,1979,35-39,45.641
China,Medium,1979,40-44,20.115
China,Medium,1979,45-49,4.127
China,Medium,1979,50-54,0.43
China,Medium,1980,10-14,0.115
China,Medium,1980,15-19,12.749
China,Medium,1980,20-24,170.883
China,Medium,1980,25-29,217.308
China,Medium,1980,30-34,93.505
China,Medium,1980,35-39,39.822
China,Medium,1980,40-44,16.917
China,Medium,1980,45-49,3.613
China,Medium,1980,50-54,0.451
China,Medium,1981,10-14,0.114
China,Medium,1981,15-19,16.332
China,Medium,1981,20-24,191.32
China,Medium,1981,25-29,220.497
China,Medium,1981,30-34,85.621
China,Medium,1981,35-39,35.173
China,Medium,1981,40-44,15.233
China,Medium,1981,45-49,3.232
China,Medium,1981,50-54,0.464
China,Medium,1982,10-14,0.118
China,Medium,1982,15-19,24.029
China,Medium,1982,20-24,214.983
China,Medium,1982,25-29,224.049
China,Medium,1982,30-34,84.142
China,Medium,1982,35-39,34.072
China,Medium,1982,40-44,14.683
China,Medium,1982,45-49,3.064
China,Medium,1982,50-54,0.501
China,Medium,1983,10-14,0.123
China,Medium,1983,15-19,25.563
China,Medium,1983,20-24,183.813
China,Medium,1983,25-29,189.936
China,Medium,1983,30-34,68.551
China,Medium,1983,35-39,25.648
China,Medium,1983,40-44,10.953
China,Medium,1983,45-49,2.193
China,Medium,1983,50-54,0.414
